username,date_time,map_num,r_time,points_to,help_rt,rec_path,rec_score
4,2/4/23 0:22,8,23.92,"(2, 3)",3,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
5,2/4/23 0:22,24,4.668,"(2, 2)",9,"[""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right"", ""up""]",92
4,2/4/23 0:22,19,11.617,"(2, 3)",7,"[""up"", ""left"", ""up"", ""up"", ""up"", ""left""]",94
5,2/4/23 0:22,1,4.026,"(2, 0)",7,"[""right"", ""up"", ""right"", ""up"", ""up"", ""up""]",94
5,2/4/23 0:23,26,13.938,"(2, 1)",8,"[""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""right"", ""up""]",92
6,2/4/23 4:02,24,5.322,"(2, 2)",8,"[""up"", ""left"", ""left"", ""left"", ""up"", ""up"", ""up"", ""right""]",92
6,2/4/23 4:02,15,3.692,"(3, 2)",8,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",-6
6,2/4/23 4:02,12,4.209,"(2, 1)",7,"[""right"", ""up"", ""up"", ""right"", ""right"", ""up"", ""left"", ""up""]",92
6,2/4/23 4:03,8,3.228,"(2, 3)",8,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
6,2/4/23 4:03,13,2.411,"(3, 3)",8,"[""right"", ""up"", ""up"", ""right"", ""right"", ""right"", ""up"", ""up"", ""left"", ""left""]",-10
6,2/4/23 4:03,6,2.743,"(1, 2)",8,"[""up"", ""up"", ""up"", ""right"", ""right"", ""up""]",94
7,2/4/23 4:03,25,13.401,"(2, 3)",9,"[""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right""]",92
6,2/4/23 4:04,25,8.924,"(1, 0)",8,"[""left"", ""up"", ""up"", ""left"", ""left"", ""up"", ""right"", ""up""]",-8
7,2/4/23 4:04,28,6.218,"(1, 2)",2,"[""left"", ""up"", ""left"", ""left"", ""left"", ""up"", ""up"", ""right"", ""up"", ""right""]",90
6,2/4/23 4:04,27,4.844,"(1, 3)",8,"[""left"", ""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right"", ""right""]",-10
6,2/4/23 4:04,23,5.043,"(3, 3)",8,"[""up"", ""up"", ""left"", ""left"", ""up"", ""up""]",94
7,2/4/23 4:04,23,10.915,"(3, 3)",3,"[""up"", ""up"", ""left"", ""left"", ""up"", ""up""]",94
6,2/4/23 4:05,9,6.591,"(1, 3)",5,"[""up"", ""up"", ""right"", ""right"", ""up"", ""up""]",94
7,2/4/23 4:05,5,10.535,"(2, 3)",5,"[""right"", ""up"", ""up"", ""up"", ""up"", ""right""]",94
6,2/4/23 4:05,10,5.559,"(4, 4)",8,"[""up"", ""up"", ""right"", ""right"", ""right"", ""up"", ""left"", ""up""]",-108
7,2/4/23 4:05,19,8.608,"(2, 1)",1,"[""left"", ""up"", ""up"", ""left"", ""up"", ""up""]",-6
6,2/4/23 4:06,4,4.493,"(0, 2)",8,"[""up"", ""right"", ""up"", ""up"", ""up"", ""right""]",94
7,2/4/23 4:06,10,7.108,"(4, 4)",1,"[""right"", ""up"", ""right"", ""up"", ""right"", ""up"", ""left"", ""up""]",-8
6,2/4/23 4:06,26,2.645,"(2, 1)",8,"[""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""right"", ""up""]",92
6,2/4/23 4:06,1,2.162,"(1, 2)",8,"[""right"", ""right"", ""up"", ""up"", ""up"", ""up""]",-6
7,2/4/23 4:06,24,2.531,"(2, 2)",3,"[""left"", ""left"", ""left"", ""up"", ""up"", ""up"", ""up"", ""right""]",92
6,2/4/23 4:06,5,4.212,"(2, 3)",8,"[""right"", ""up"", ""up"", ""up"", ""up"", ""right""]",94
7,2/4/23 4:06,3,4.125,"(1, 0)",5,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
6,2/4/23 4:07,22,2.06,"(4, 4)",8,"[""up"", ""up"", ""left"", ""left"", ""up"", ""up""]",-6
7,2/4/23 4:07,16,6.274,"(3, 1)",3,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",94
