username,date_time,map_num,helper,points_to,rec_path,rec_score,other_wump,help_rt
20,5/19/23 18:20,4,r,"(0, 2)","[""up"",""right"",""right"",""right"",""up"",""up"",""up"",""left""]",-8,"[""(2, 3)"",""(0, 4)"",""(4, 4)"",""(4, 0)"",""(4, 1)"",""(2, 2)""]",1
20,5/19/23 18:21,16,r,"(4, 4)","[""up"",""left"",""up"",""left"",""left"",""up"",""up"",""right""]",-108,"[""(2, 3)"",""(3, 4)"",""(0, 4)"",""(0, 0)"",""(1, 1)""]",1
20,5/19/23 18:21,27,r,"(1, 3)","[""left"",""up"",""left"",""left"",""left"",""up"",""up"",""up"",""right"",""right""]",-10,"[""(4, 4)"",""(2, 2)"",""(3, 2)"",""(4, 2)"",""(4, 1)""]",4
20,5/19/23 18:22,26,r,"(4, 2)","[""up"",""left"",""left"",""left"",""left"",""up"",""up"",""right"",""up"",""right""]",-110,"[""(0, 4)"",""(4, 4)"",""(2, 3)"",""(3, 4)"",""(1, 2)"",""(2, 0)""]",1
20,5/19/23 18:22,7,r,"(0, 4)","[""up"",""up"",""right"",""up"",""up"",""right""]",94,"[""(2, 3)"",""(2, 2)"",""(1, 1)"",""(2, 1)"",""(1, 0)"",""(2, 0)"",""(3, 0)"",""(3, 1)""]",5
20,5/19/23 18:23,22,r,"(4, 4)","[""up"",""up"",""up"",""left"",""up"",""left""]",94,"[""(3, 1)"",""(2, 1)"",""(1, 1)"",""(1, 2)"",""(2, 3)"",""(1, 4)"",""(0, 4)"",""(0, 0)""]",5
20,5/19/23 18:23,11,r,"(3, 0)","[""right"",""right"",""up"",""right"",""up"",""up"",""up"",""left""]",92,"[""(1, 4)"",""(0, 4)"",""(4, 4)"",""(2, 2)"",""(4, 2)"",""(0, 2)""]",2
20,5/19/23 18:24,1,r,"(2, 0)","[""right"",""up"",""right"",""right"",""up"",""up"",""up"",""left""]",92,"[""(1, 4)"",""(0, 4)"",""(4, 4)"",""(4, 0)"",""(2, 3)"",""(4, 2)"",""(0, 2)""]",2
20,5/19/23 18:25,24,h,"(4, 2)","[""up"",""left"",""up"",""left"",""left"",""up"",""up"",""right""]",-8,"[""(3, 0)"",""(2, 0)"",""(0, 0)"",""(0, 4)"",""(4, 4)"",""(2, 3)"",""(3, 4)""]",2
20,5/19/23 18:25,5,r,"(2, 3)","[""up"",""up"",""right"",""up"",""up"",""right""]",94,"[""(0, 4)"",""(4, 4)"",""(3, 4)"",""(3, 3)"",""(4, 0)"",""(2, 0)"",""(2, 1)"",""(1, 1)""]",5
20,5/19/23 18:25,23,h,"(3, 3)","[""up"",""up"",""up"",""up"",""left"",""left""]",-6,"[""(0, 4)"",""(1, 1)"",""(0, 1)"",""(2, 3)"",""(1, 4)""]",3
20,5/19/23 18:26,6,h,"(1, 1)","[""up"",""up"",""right"",""up"",""right"",""up""]",-6,"[""(1, 4)"",""(3, 4)"",""(4, 4)"",""(0, 4)"",""(4, 0)"",""(2, 1)"",""(2, 2)"",""(1, 0)""]",1
21,7/16/24 21:34,102,x,NA,"[""up"",""right"",""up"",""up"",""up"",""right""]",94,NA,0
21,7/16/24 21:34,103,x,NA,"[""up"",""up"",""right"",""right"",""up"",""up""]",94,NA,0
21,7/16/24 21:34,101,x,NA,"[""up"",""up"",""up"",""right"",""up"",""right""]",94,NA,0
21,7/16/24 21:34,104,x,NA,"[""up"",""up"",""right"",""up"",""right"",""up""]",94,NA,0
21,7/16/24 21:34,110,x,NA,"[""up"",""left"",""left"",""up"",""left"",""up"",""right"",""up""]",92,NA,0
21,7/16/24 21:35,107,x,NA,"[""up"",""up"",""up"",""left"",""up"",""left""]",94,NA,0
21,7/16/24 21:35,108,x,NA,"[""up"",""left"",""left"",""left"",""up"",""up"",""up"",""right""]",92,NA,0
21,7/16/24 21:35,106,x,NA,"[""left"",""up"",""up"",""up"",""up"",""left""]",94,NA,0
21,7/16/24 21:35,109,x,NA,"[""up"",""up"",""up"",""left"",""up"",""left""]",94,NA,0
21,7/16/24 21:35,105,x,NA,"[""right"",""up"",""right"",""up"",""right"",""up"",""up"",""left""]",92,NA,0
21,7/16/24 21:41,16,r,"(4, 4)","[""up"",""up"",""left"",""left"",""up"",""up""]",94,"[""(3, 3)"",""(3, 1)"",""(1, 1)"",""(1, 3)""]",7
21,7/16/24 21:42,13,h,"(1, 1)","[""right"",""right"",""up"",""up"",""right"",""up"",""up"",""left""]",-8,"[""(2, 3)"",""(0, 2)"",""(4, 1)""]",4
21,7/16/24 21:42,6,h,"(1, 1)","[""right"",""right"",""right"",""up"",""up"",""up"",""up"",""left""]",92,"[""(2, 1)"",""(1, 3)"",""(0, 3)""]",7
21,7/16/24 21:43,11,r,"(3, 0)","[""right"",""right"",""up"",""right"",""up"",""up"",""left"",""up""]",-8,"[""(3, 4)"",""(2, 2)""]",6
21,7/16/24 21:43,8,h,"(0, 4)","[""up"",""up"",""right"",""up"",""right"",""up""]",-6,"[""(1, 4)"",""(2, 1)"",""(4, 2)"",""(3, 3)"",""(3, 2)""]",4
21,7/16/24 21:44,21,h,"(3, 1)","[""up"",""up"",""left"",""up"",""up"",""left""]",94,"[""(2, 2)"",""(2, 1)"",""(1, 1)"",""(1, 2)""]",7
